scenario_id,scenario_type,baseline_name,seed,n_steps,cumulative_gain,mean_stability,final_stability,mean_risk,final_risk,safety_violation_count,safety_violation_rate,over_action_count,over_action_rate,missed_opportunity_rate,mean_recovery_score,time_to_recover,max_fatigue,final_relation_lock,exploration_capacity_retention,audit_pass_rate
clr_05,hidden_fragility,ACTION_MODULE_RC1,1,12.0,0.0,0.699629,0.630879,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,ACTION_MODULE_RC1,2,12.0,0.0,0.686001,0.617251,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,ACTION_MODULE_RC1,3,12.0,0.0,0.705835,0.637085,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,ACTION_MODULE_RC1,4,12.0,0.0,0.714976,0.646226,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,NO_ACTION,0,12.0,0.0,0.693211,0.624461,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,NO_ACTION,1,12.0,0.0,0.699629,0.630879,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,NO_ACTION,2,12.0,0.0,0.686001,0.617251,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,NO_ACTION,3,12.0,0.0,0.705835,0.637085,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,NO_ACTION,4,12.0,0.0,0.714976,0.646226,0.42125,0.49,0.0,0.0,0.0,0.0,0.666667,0.576795,0.0,0.01,0.06,0.974884,1.0
clr_05,hidden_fragility,V2_GREEDY_OPTIMIZER,0,12.0,7.624937,0.981429,1.0,0.607521,1.0,0.0,0.0,11.0,0.916667,0.0,0.281072,0.0,1.0,0.324,0.64293,1.0
clr_05,hidden_fragility,V2_GREEDY_OPTIMIZER,1,12.0,7.624937,0.983034,1.0,0.607521,1.0,0.0,0.0,11.0,0.916667,0.0,0.280537,0.0,1.0,0.324,0.64293,1.0
clr_05,hidden_fragility,V2_GREEDY_OPTIMIZER,2,12.0,7.624937,0.979626,1.0,0.607521,1.0,0.0,0.0,11.0,0.916667,0.0,0.281673,0.0,1.0,0.324,0.64293,1.0
clr_05,hidden_fragility,V2_GREEDY_OPTIMIZER,3,12.0,7.624937,0.984105,1.0,0.607521,1.0,0.0,0.0,11.0,0.916667,0.0,0.28002,0.0,1.0,0.324,0.64293,1.0
clr_05,hidden_fragility,V2_GREEDY_OPTIMIZER,4,12.0,7.624937,0.985629,1.0,0.607521,1.0,0.0,0.0,11.0,0.916667,0.0,0.279258,0.0,1.0,0.324,0.64293,1.0
clr_06,high_opportunity_high_risk,ACTION_MODULE_RC1,0,12.0,0.0,0.528392,0.357892,0.700833,0.72,0.0,0.0,0.0,0.0,0.166667,0.597128,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,ACTION_MODULE_RC1,1,12.0,0.0,0.52444,0.35394,0.700833,0.72,0.0,0.0,0.0,0.0,0.166667,0.597128,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,ACTION_MODULE_RC1,2,12.0,0.0,0.503018,0.332518,0.700833,0.72,0.0,0.0,0.0,0.0,0.166667,0.597128,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,ACTION_MODULE_RC1,3,12.0,0.0,0.520425,0.349925,0.700833,0.72,0.0,0.0,0.0,0.0,0.166667,0.597128,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,ACTION_MODULE_RC1,4,12.0,0.0,0.520063,0.349563,0.700833,0.72,0.0,0.0,0.0,0.0,0.166667,0.597128,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,NO_ACTION,0,12.0,0.0,0.528392,0.357892,0.842917,1.0,0.0,0.0,0.0,0.0,0.166667,0.525795,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,NO_ACTION,1,12.0,0.0,0.52444,0.35394,0.842917,1.0,0.0,0.0,0.0,0.0,0.166667,0.525795,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,NO_ACTION,2,12.0,0.0,0.503018,0.332518,0.842917,1.0,0.0,0.0,0.0,0.0,0.166667,0.525795,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,NO_ACTION,3,12.0,0.0,0.520425,0.349925,0.842917,1.0,0.0,0.0,0.0,0.0,0.166667,0.525795,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,NO_ACTION,4,12.0,0.0,0.520063,0.349563,0.842917,1.0,0.0,0.0,0.0,0.0,0.166667,0.525795,99.0,0.01,0.06,0.974884,1.0
clr_06,high_opportunity_high_risk,V2_GREEDY_OPTIMIZER,0,12.0,4.888033,0.949834,0.961125,0.47538,0.511875,0.0,0.0,0.0,0.0,0.0,0.544034,99.0,0.37026,0.236975,0.787951,1.0
clr_06,high_opportunity_high_risk,V2_GREEDY_OPTIMIZER,1,12.0,4.888033,0.947858,0.961125,0.47538,0.511875,0.0,0.0,0.0,0.0,0.0,0.544364,99.0,0.37026,0.236975,0.787951,1.0
clr_06,high_opportunity_high_risk,V2_GREEDY_OPTIMIZER,2,12.0,4.888033,0.936205,0.961125,0.47538,0.511875,0.0,0.0,0.0,0.0,0.0,0.546149,99.0,0.37026,0.236975,0.787951,1.0
clr_06,high_opportunity_high_risk,V2_GREEDY_OPTIMIZER,3,12.0,4.888033,0.94585,0.961125,0.47538,0.511875,0.0,0.0,0.0,0.0,0.0,0.544698,99.0,0.37026,0.236975,0.787951,1.0
clr_06,high_opportunity_high_risk,V2_GREEDY_OPTIMIZER,4,12.0,4.888033,0.945669,0.961125,0.47538,0.511875,0.0,0.0,0.0,0.0,0.0,0.544729,99.0,0.37026,0.236975,0.787951,1.0
