row_index,distribution_state_id,distribution_group,scenario_split,scenario_id,seed,t,n_bins,cell_count,base_pair_key
110,external_augmented|holdout_external|holdout_unseen_intensity_noise|seed10|t12|n4,external_augmented,holdout_external,holdout_unseen_intensity_noise,10,12,4,1024,seed=10|t=12|n_bins=4|scenario_split=holdout_external
111,external_augmented|holdout_external|holdout_unseen_intensity_noise|seed11|t12|n4,external_augmented,holdout_external,holdout_unseen_intensity_noise,11,12,4,1024,seed=11|t=12|n_bins=4|scenario_split=holdout_external
112,external_augmented|holdout_external|holdout_stronger_shock|seed10|t12|n4,external_augmented,holdout_external,holdout_stronger_shock,10,12,4,1024,seed=10|t=12|n_bins=4|scenario_split=holdout_external
113,external_augmented|holdout_external|holdout_stronger_shock|seed11|t12|n4,external_augmented,holdout_external,holdout_stronger_shock,11,12,4,1024,seed=11|t=12|n_bins=4|scenario_split=holdout_external
114,external_augmented|holdout_external|holdout_long_sustained_constraint|seed10|t20|n4,external_augmented,holdout_external,holdout_long_sustained_constraint,10,20,4,1024,seed=10|t=20|n_bins=4|scenario_split=holdout_external
115,external_augmented|holdout_external|holdout_long_sustained_constraint|seed11|t20|n4,external_augmented,holdout_external,holdout_long_sustained_constraint,11,20,4,1024,seed=11|t=20|n_bins=4|scenario_split=holdout_external
116,external_augmented|holdout_external|holdout_delayed_reversal_resource|seed10|t12|n4,external_augmented,holdout_external,holdout_delayed_reversal_resource,10,12,4,1024,seed=10|t=12|n_bins=4|scenario_split=holdout_external
117,external_augmented|holdout_external|holdout_delayed_reversal_resource|seed11|t12|n4,external_augmented,holdout_external,holdout_delayed_reversal_resource,11,12,4,1024,seed=11|t=12|n_bins=4|scenario_split=holdout_external
118,external_augmented|holdout_external|holdout_late_pulse_shock|seed10|t12|n4,external_augmented,holdout_external,holdout_late_pulse_shock,10,12,4,1024,seed=10|t=12|n_bins=4|scenario_split=holdout_external
119,external_augmented|holdout_external|holdout_late_pulse_shock|seed11|t12|n4,external_augmented,holdout_external,holdout_late_pulse_shock,11,12,4,1024,seed=11|t=12|n_bins=4|scenario_split=holdout_external
120,external_augmented|holdout_external|holdout_compound_unseen|seed10|t12|n4,external_augmented,holdout_external,holdout_compound_unseen,10,12,4,1024,seed=10|t=12|n_bins=4|scenario_split=holdout_external
121,external_augmented|holdout_external|holdout_compound_unseen|seed11|t12|n4,external_augmented,holdout_external,holdout_compound_unseen,11,12,4,1024,seed=11|t=12|n_bins=4|scenario_split=holdout_external
